Event,Method,Best_Objective,Mean_Objective,Std_Objective,Feasible_Rate,Runtime_ms
event0,Random,24.711454745231286,24.711454745231286,0.0,1.0,313.07911872863764
event1,Random,35.91106278142171,35.91106278142171,0.0,1.0,325.07324218749994
event2,Random,39.92783798334416,39.92783798334416,0.0,1.0,319.55409049987793
event3,Random,49.11576932407021,49.11576932407021,0.0,1.0,326.01213455200195
event4,Random,78.62925035381335,78.62925035381335,0.0,1.0,317.9945945739746
event5,Random,-12.082854137570552,-12.082854137570552,0.0,1.0,307.7270984649658
event6,Random,51.61009636895986,51.61009636895986,0.0,1.0,315.356969833374
event7,Random,3.4872675459995115,3.4872675459995115,0.0,1.0,317.1899318695068
event8,Random,65.05434251233174,65.05434251233174,0.0,1.0,323.17113876342773
event9,Random,10.411809737866008,10.411809737866008,0.0,1.0,301.6772270202637
event10,Random,42.74400674564139,42.74400674564139,0.0,1.0,315.7320022583008
event11,Random,4.842818082650364,4.842818082650364,0.0,1.0,306.51092529296875
event12,Random,-14.745243267848268,-14.745243267848268,0.0,1.0,385.05482673645014
event13,Random,10.026143009812849,10.026143009812849,0.0,1.0,315.4647350311279
event14,Random,20.96363935613193,20.96363935613193,0.0,1.0,323.5960006713867
event15,Random,57.29043096681524,57.29043096681524,0.0,1.0,311.18297576904297
event16,Random,35.950349378777474,35.950349378777474,0.0,1.0,312.10803985595703
event17,Random,24.504627007193683,24.504627007193683,0.0,1.0,311.55586242675776
event18,Random,13.060607979834444,13.060607979834444,0.0,1.0,305.44590950012207
event19,Random,0.9169248911476444,0.9169248911476444,0.0,1.0,313.3141994476318
event20,Random,8.514638236570569,8.514638236570569,0.0,1.0,306.4889907836914
event21,Random,42.94586907552987,42.94586907552987,0.0,1.0,312.46399879455566
event22,Random,59.4926844522864,59.4926844522864,0.0,1.0,315.27113914489746
event23,Random,14.343168541564154,14.343168541564154,0.0,1.0,300.0910282135009
event24,Random,5.410743134275684,5.410743134275684,0.0,1.0,306.9431781768798
event25,Random,57.58445734793848,57.58445734793848,0.0,1.0,318.27592849731445
event26,Random,1.069109790022701,1.069109790022701,0.0,1.0,303.16710472106934
event27,Random,10.385301794710482,10.385301794710482,0.0,1.0,324.3691921234131
event28,Random,15.697527641314371,15.697527641314371,0.0,1.0,314.83292579650873
event29,Random,21.75795441759868,21.75795441759868,0.0,1.0,313.8208389282226
event30,Random,20.569742616502907,20.569742616502907,0.0,1.0,300.3809452056885
event31,Random,4.982326592809558,4.982326592809558,0.0,1.0,309.98182296752924
event32,Random,41.44022079500507,41.44022079500507,0.0,1.0,313.36283683776855
event33,Random,17.576567907066458,17.576567907066458,0.0,1.0,296.0109710693359
event34,Random,48.35108171892149,48.35108171892149,0.0,1.0,311.1989498138428
event35,Random,28.78188449968301,28.78188449968301,0.0,1.0,303.3759593963623
event36,Random,54.4736250699919,54.4736250699919,0.0,1.0,313.4450912475586
event37,Random,42.4465710121833,42.4465710121833,0.0,1.0,307.4460029602051
event38,Random,31.49747849187224,31.49747849187224,0.0,1.0,314.12506103515625
event39,Random,18.80427440891763,18.80427440891763,0.0,1.0,297.7128028869629
event40,Random,14.098737088738616,14.098737088738616,0.0,1.0,312.5059604644775
event41,Random,4.030170696673393,4.030170696673393,0.0,1.0,295.3090667724609
event42,Random,43.829432182686105,43.829432182686105,0.0,1.0,319.8089599609375
event43,Random,63.76291176246245,63.76291176246245,0.0,1.0,321.5529918670654
event44,Random,19.60654422963788,19.60654422963788,0.0,1.0,304.2459487915039
event45,Random,45.21679506945008,45.21679506945008,0.0,1.0,311.62095069885254
event46,Random,6.700638450071192,6.700638450071192,0.0,1.0,303.38096618652344
event47,Random,8.980012863911476,8.980012863911476,0.0,1.0,312.42585182189936
event48,Random,30.961331627391445,30.961331627391445,0.0,1.0,314.29910659790033
event49,Random,40.31753893267781,40.31753893267781,0.0,1.0,313.79604339599604
event0,SA,24.711454745231286,25.34884937861308,0.7806458082868744,1.0,310.0552558898925
event1,SA,35.91106278142171,35.91106278142171,0.0,1.0,319.7178840637207
event2,SA,39.92783798334416,41.51910248110024,3.1825289955121603,1.0,318.3178901672363
event3,SA,49.11576932407021,49.11576932407022,7.105427357601002e-15,1.0,324.3882656097412
event4,SA,78.62925035381335,78.62925035381336,1.4210854715202004e-14,1.0,316.21503829956055
event5,SA,-12.082854137570552,-12.082854137570552,0.0,1.0,315.3138160705566
event6,SA,51.61009636895986,51.61009636895985,7.105427357601002e-15,1.0,319.94438171386713
event7,SA,3.4872675459995115,3.4872675459995115,0.0,1.0,313.6310577392578
event8,SA,65.05434251233174,65.05434251233173,1.4210854715202004e-14,1.0,320.7199573516845
event9,SA,10.411809737866008,10.411809737866008,0.0,1.0,314.9030208587646
event10,SA,42.74400674564139,42.74400674564139,0.0,1.0,321.16103172302246
event11,SA,4.842818082650364,4.842818082650365,8.881784197001252e-16,1.0,310.028076171875
event12,SA,-14.745243267848268,-14.745243267848265,3.552713678800501e-15,1.0,316.45011901855463
event13,SA,10.026143009812849,10.026143009812843,1.7763568394002505e-15,1.0,313.1918907165527
event14,SA,20.96363935613193,20.963639356131928,3.552713678800501e-15,1.0,317.8369998931884
event15,SA,57.29043096681524,57.29043096681525,7.105427357601002e-15,1.0,319.17071342468256
event16,SA,35.950349378777474,35.95034937877747,7.105427357601002e-15,1.0,319.1711902618408
event17,SA,24.504627007193683,24.504627007193683,0.0,1.0,319.7901248931885
event18,SA,13.060607979834444,13.060607979834444,0.0,1.0,313.2801055908203
event19,SA,0.9169248911476444,0.9169248911476444,0.0,1.0,316.6317939758301
event20,SA,8.514638236570569,8.514638236570567,1.7763568394002505e-15,1.0,317.4540996551513
event21,SA,42.94586907552987,42.94586907552987,0.0,1.0,318.69411468505854
event22,SA,59.4926844522864,60.36616145899113,0.8734770067047322,1.0,312.5910758972168
event23,SA,14.343168541564154,14.343168541564154,0.0,1.0,316.15710258483887
event24,SA,5.410743134275684,5.410743134275684,0.0,1.0,385.77818870544434
event25,SA,57.58445734793848,57.58445734793848,0.0,1.0,331.21776580810547
event26,SA,1.069109790022701,1.069109790022701,0.0,1.0,320.52588462829584
event27,SA,10.385301794710482,10.385301794710482,0.0,1.0,320.3692436218261
event28,SA,15.697527641314371,15.697527641314371,1.7763568394002505e-15,1.0,319.6620941162109
event29,SA,21.75795441759868,21.75795441759868,0.0,1.0,310.3952407836914
event30,SA,20.569742616502907,20.569742616502907,0.0,1.0,313.5988712310791
event31,SA,4.982326592809558,4.982326592809558,0.0,1.0,311.15603446960444
event32,SA,41.44022079500507,41.44022079500507,0.0,1.0,317.76523590087885
event33,SA,17.576567907066458,17.576567907066455,3.552713678800501e-15,1.0,310.3077411651611
event34,SA,48.35108171892149,48.35108171892149,0.0,1.0,314.89610671997065
event35,SA,28.78188449968301,28.78188449968301,3.552713678800501e-15,1.0,316.2050247192382
event36,SA,54.4736250699919,54.4736250699919,0.0,1.0,311.61403656005854
event37,SA,42.4465710121833,42.94302145090769,1.4893513161731635,1.0,314.0840530395508
event38,SA,31.49747849187224,31.49747849187224,3.552713678800501e-15,1.0,310.4581832885742
event39,SA,18.80427440891763,18.804274408917628,3.552713678800501e-15,1.0,315.1841163635254
event40,SA,14.098737088738616,14.098737088738616,0.0,1.0,311.53368949890137
event41,SA,4.030170696673393,4.030170696673393,0.0,1.0,314.1119480133056
event42,SA,43.829432182686105,43.829432182686105,0.0,1.0,312.7107620239258
event43,SA,63.76291176246245,63.76291176246245,7.105427357601002e-15,1.0,323.6868381500244
event44,SA,19.60654422963788,19.60654422963788,0.0,1.0,317.04497337341303
event45,SA,45.21679506945008,45.21679506945008,0.0,1.0,312.3290538787842
event46,SA,6.700638450071192,6.700638450071193,8.881784197001252e-16,1.0,316.5171146392822
event47,SA,8.980012863911476,8.980012863911474,1.7763568394002505e-15,1.0,310.6212615966797
event48,SA,30.961331627391445,30.96133162739145,7.105427357601002e-15,1.0,317.6183700561523
event49,SA,40.31753893267781,40.317538932677806,7.105427357601002e-15,1.0,315.3970241546631
event0,Kaiwu-SA,24.711454745231286,47.20806369401521,11.248304474391963,1.0,4524.809122085571
event1,Kaiwu-SA,35.91106278142171,35.91106278142171,0.0,1.0,4539.552927017212
event2,Kaiwu-SA,41.35698103148036,69.88081540060347,20.81750217241195,1.0,6961.776018142701
event3,Kaiwu-SA,49.11576932407021,49.11576932407022,7.105427357601002e-15,1.0,4490.397214889526
event4,Kaiwu-SA,78.62925035381335,83.94776476045448,11.197977110842857,1.0,4297.12700843811
event5,Kaiwu-SA,-12.082854137570552,-8.445978609469234,10.910626584303952,1.0,4472.21302986145
event6,Kaiwu-SA,51.61009636895986,79.87762241230891,10.411627868221595,1.0,4366.338014602661
event7,Kaiwu-SA,3.4872675459995115,55.72417488448698,44.38015528512224,1.0,4424.527645111084
event8,Kaiwu-SA,65.05434251233174,67.99112472028727,2.3978726317250603,1.0,4574.9382972717285
