event_idx,N,best_energy,mean_energy,std_energy,min_energy,build_time,solve_time,avg_time_per_run,is_feasible,violation_rate,solver,n_steps,n_runs,n_evals
0,13,24.711454745231286,47.20806369401521,11.248304474391963,24.711454745231286,6.508827209472656e-05,4.524744033813477,0.45247440338134765,True,0.0,Kaiwu_SA,10000,10,100000
1,15,35.91106278142171,35.91106278142171,0.0,35.91106278142171,7.295608520507812e-05,4.539479970932007,0.45394799709320066,True,0.0,Kaiwu_SA,10000,10,100000
2,15,41.35698103148036,69.88081540060347,20.81750217241195,41.35698103148036,7.200241088867188e-05,6.9617040157318115,0.6961704015731811,True,0.0,Kaiwu_SA,10000,10,100000
3,15,49.115769324070214,49.11576932407022,7.105427357601002e-15,49.115769324070214,7.486343383789062e-05,4.4903223514556885,0.44903223514556884,True,0.0,Kaiwu_SA,10000,10,100000
4,15,78.62925035381335,83.94776476045448,11.197977110842855,78.62925035381335,6.985664367675781e-05,4.297057151794434,0.42970571517944334,True,0.0,Kaiwu_SA,10000,10,100000
5,12,-12.082854137570552,-8.445978609469234,10.910626584303953,-12.082854137570552,4.9114227294921875e-05,4.472163915634155,0.4472163915634155,True,0.0,Kaiwu_SA,10000,10,100000
6,13,51.61009636895986,79.87762241230891,10.411627868221597,51.61009636895986,5.888938903808594e-05,4.366279125213623,0.4366279125213623,True,0.0,Kaiwu_SA,10000,10,100000
7,12,3.4872675459995115,55.72417488448698,44.38015528512224,3.4872675459995115,5.078315734863281e-05,4.424476861953735,0.44244768619537356,True,0.0,Kaiwu_SA,10000,10,100000
8,15,65.05434251233174,67.99112472028727,2.3978726317250603,65.05434251233174,7.200241088867188e-05,4.57486629486084,0.457486629486084,True,0.0,Kaiwu_SA,10000,10,100000
9,12,10.411809737866008,11.774972416503541,4.089488035912595,10.411809737866008,5.602836608886719e-05,4.293104887008667,0.4293104887008667,True,0.0,Kaiwu_SA,10000,10,100000
10,14,42.74400674564139,79.83814217969912,18.708468088530044,42.74400674564139,6.29425048828125e-05,4.2562360763549805,0.42562360763549806,True,0.0,Kaiwu_SA,10000,10,100000
11,13,4.842818082650364,13.039208414823417,13.833854955783032,4.842818082650364,5.698204040527344e-05,4.679482936859131,0.46794829368591306,True,0.0,Kaiwu_SA,10000,10,100000
12,13,-14.745243267848267,-7.60354065422375,14.283405227249032,-14.745243267848267,5.817413330078125e-05,4.663264036178589,0.4663264036178589,True,0.0,Kaiwu_SA,10000,10,100000
13,14,10.026143009812847,55.795813467740416,42.794807005295304,10.026143009812847,0.00016498565673828125,4.5523200035095215,0.4552320003509521,True,0.0,Kaiwu_SA,10000,10,100000
14,15,20.96363935613193,26.081792224882605,15.354458606252031,20.96363935613193,7.486343383789062e-05,4.5191969871521,0.45191969871521,True,0.0,Kaiwu_SA,10000,10,100000
15,14,113.09858514994109,129.13099388579786,5.344136245285598,113.09858514994109,6.198883056640625e-05,4.091036081314087,0.40910360813140867,True,0.0,Kaiwu_SA,10000,10,100000
16,13,35.950349378777474,44.24321210497461,2.764287575399048,35.950349378777474,5.888938903808594e-05,4.3806281089782715,0.43806281089782717,True,0.0,Kaiwu_SA,10000,10,100000
17,14,24.504627007193683,24.504627007193683,0.0,24.504627007193683,7.295608520507812e-05,4.20638108253479,0.420638108253479,True,0.0,Kaiwu_SA,10000,10,100000
18,12,13.060607979834444,20.643531012826998,15.165846065985107,13.060607979834444,5.1975250244140625e-05,4.48166823387146,0.448166823387146,True,0.0,Kaiwu_SA,10000,10,100000
19,14,23.013517536566372,41.39624441630435,7.141191088201649,23.013517536566372,6.508827209472656e-05,4.491922855377197,0.4491922855377197,True,0.0,Kaiwu_SA,10000,10,100000
20,13,8.514638236570569,8.514638236570567,1.7763568394002505e-15,8.514638236570569,6.604194641113281e-05,4.367531061172485,0.43675310611724855,True,0.0,Kaiwu_SA,10000,10,100000
21,14,42.94586907552987,66.28920613024479,9.612680067319294,42.94586907552987,6.604194641113281e-05,4.423357009887695,0.4423357009887695,True,0.0,Kaiwu_SA,10000,10,100000
22,14,64.28164821306173,75.92947103602877,7.005675434977201,64.28164821306173,6.198883056640625e-05,4.87926721572876,0.487926721572876,True,0.0,Kaiwu_SA,10000,10,100000
23,12,14.343168541564154,15.042559706746761,2.0981734955478193,14.343168541564154,0.00029397010803222656,4.466701030731201,0.4466701030731201,True,0.0,Kaiwu_SA,10000,10,100000
24,13,5.410743134275684,9.965686778487184,6.9577913452857345,5.410743134275684,5.507469177246094e-05,4.541146993637085,0.4541146993637085,True,0.0,Kaiwu_SA,10000,10,100000
25,14,57.58445734793848,62.78023187403344,7.936676686584497,57.58445734793848,6.198883056640625e-05,6.071808815002441,0.6071808815002442,True,0.0,Kaiwu_SA,10000,10,100000
26,13,1.0691097900227007,1.0691097900227007,0.0,1.0691097900227007,5.7697296142578125e-05,4.28908896446228,0.42890889644622804,True,0.0,Kaiwu_SA,10000,10,100000
27,15,10.385301794710482,14.378620674722182,1.331106293337234,10.385301794710482,7.081031799316406e-05,4.698189973831177,0.46981899738311766,True,0.0,Kaiwu_SA,10000,10,100000
28,14,15.697527641314373,21.154096241129043,6.776434251632946,15.697527641314373,6.508827209472656e-05,4.337815999984741,0.4337815999984741,True,0.0,Kaiwu_SA,10000,10,100000
29,13,21.75795441759868,26.22211189997653,5.202222392121877,21.75795441759868,5.888938903808594e-05,4.242987871170044,0.4242987871170044,True,0.0,Kaiwu_SA,10000,10,100000
30,12,29.84620927607263,36.12937044053897,11.100082073573533,29.84620927607263,5.3882598876953125e-05,4.308600187301636,0.43086001873016355,True,0.0,Kaiwu_SA,10000,10,100000
31,14,4.982326592809558,36.25011498019463,18.81146108700037,4.982326592809558,6.29425048828125e-05,4.782898902893066,0.47828989028930663,True,0.0,Kaiwu_SA,10000,10,100000
32,14,41.44022079500507,41.44022079500507,0.0,41.44022079500507,6.985664367675781e-05,4.09911584854126,0.409911584854126,True,0.0,Kaiwu_SA,10000,10,100000
33,12,17.576567907066458,20.92965519279182,7.153377387988894,17.576567907066458,5.0067901611328125e-05,4.529040813446045,0.45290408134460447,True,0.0,Kaiwu_SA,10000,10,100000
34,14,55.1263357684723,60.494085539173604,1.7892499235670973,55.1263357684723,6.604194641113281e-05,4.267405271530151,0.42674052715301514,True,0.0,Kaiwu_SA,10000,10,100000
35,13,28.781884499683006,86.65486298404035,19.933656610848292,28.781884499683006,5.698204040527344e-05,4.193784713745117,0.41937847137451173,True,0.0,Kaiwu_SA,10000,10,100000
36,14,63.84572091814601,63.845720918146,7.105427357601002e-15,63.84572091814601,6.103515625e-05,4.3682639598846436,0.43682639598846434,True,0.0,Kaiwu_SA,10000,10,100000
37,14,42.4465710121833,49.0919821947539,5.356737279169453,42.4465710121833,6.604194641113281e-05,4.403697967529297,0.4403697967529297,True,0.0,Kaiwu_SA,10000,10,100000
38,14,31.49747849187224,52.65616277316177,15.21692323858936,31.49747849187224,6.580352783203125e-05,4.493066072463989,0.4493066072463989,True,0.0,Kaiwu_SA,10000,10,100000
39,12,18.80427440891763,18.804274408917628,3.552713678800501e-15,18.80427440891763,5.1021575927734375e-05,4.933517694473267,0.49335176944732667,True,0.0,Kaiwu_SA,10000,10,100000
