event_idx,N,best_energy,mean_energy,std_energy,min_energy,build_time,solve_time,avg_time_per_run,is_feasible,violation_rate,solver,n_steps,n_runs,n_evals
0,13,24.711454745231286,25.348849378613078,0.7806458082868744,24.711454745231286,5.1975250244140625e-05,0.31000328063964844,0.031000328063964844,True,0.0,SA,10000,10,100000
1,15,35.91106278142171,35.91106278142171,0.0,35.91106278142171,6.29425048828125e-05,0.3196549415588379,0.03196549415588379,True,0.0,SA,10000,10,100000
2,15,39.92783798334416,41.51910248110024,3.1825289955121603,39.92783798334416,6.413459777832031e-05,0.318253755569458,0.0318253755569458,True,0.0,SA,10000,10,100000
3,15,49.115769324070214,49.11576932407022,7.105427357601002e-15,49.115769324070214,6.198883056640625e-05,0.3243262767791748,0.03243262767791748,True,0.0,SA,10000,10,100000
4,15,78.62925035381335,78.62925035381336,1.4210854715202004e-14,78.62925035381335,6.699562072753906e-05,0.316148042678833,0.0316148042678833,True,0.0,SA,10000,10,100000
5,12,-12.082854137570552,-12.082854137570552,0.0,-12.082854137570552,4.601478576660156e-05,0.31526780128479004,0.031526780128479,True,0.0,SA,10000,10,100000
6,13,51.61009636895986,51.61009636895985,7.105427357601002e-15,51.61009636895986,5.1021575927734375e-05,0.31989336013793945,0.031989336013793945,True,0.0,SA,10000,10,100000
7,12,3.4872675459995115,3.4872675459995115,0.0,3.4872675459995115,4.482269287109375e-05,0.3135862350463867,0.03135862350463867,True,0.0,SA,10000,10,100000
8,15,65.05434251233174,65.05434251233173,1.4210854715202004e-14,65.05434251233174,6.604194641113281e-05,0.32065391540527344,0.032065391540527344,True,0.0,SA,10000,10,100000
9,12,10.411809737866008,10.411809737866008,0.0,10.411809737866008,4.410743713378906e-05,0.31485891342163086,0.031485891342163085,True,0.0,SA,10000,10,100000
10,14,42.74400674564139,42.74400674564139,0.0,42.74400674564139,5.5789947509765625e-05,0.3211052417755127,0.03211052417755127,True,0.0,SA,10000,10,100000
11,13,4.842818082650364,4.842818082650365,8.881784197001252e-16,4.842818082650364,5.817413330078125e-05,0.3099699020385742,0.030996990203857423,True,0.0,SA,10000,10,100000
12,13,-14.745243267848267,-14.745243267848263,3.552713678800501e-15,-14.745243267848267,5.1975250244140625e-05,0.31639814376831055,0.031639814376831055,True,0.0,SA,10000,10,100000
13,14,10.026143009812847,10.026143009812845,1.7763568394002505e-15,10.026143009812847,5.602836608886719e-05,0.31313586235046387,0.03131358623504639,True,0.0,SA,10000,10,100000
14,15,20.96363935613193,20.963639356131928,3.552713678800501e-15,20.96363935613193,6.4849853515625e-05,0.31777215003967285,0.03177721500396728,True,0.0,SA,10000,10,100000
15,14,57.29043096681524,57.290430966815244,7.105427357601002e-15,57.29043096681524,5.6743621826171875e-05,0.31911396980285645,0.031911396980285646,True,0.0,SA,10000,10,100000
16,13,35.950349378777474,35.95034937877747,7.105427357601002e-15,35.950349378777474,4.9114227294921875e-05,0.3191220760345459,0.03191220760345459,True,0.0,SA,10000,10,100000
17,14,24.504627007193683,24.504627007193683,0.0,24.504627007193683,5.507469177246094e-05,0.319735050201416,0.0319735050201416,True,0.0,SA,10000,10,100000
18,12,13.060607979834444,13.060607979834444,0.0,13.060607979834444,4.410743713378906e-05,0.3132359981536865,0.031323599815368655,True,0.0,SA,10000,10,100000
19,14,0.9169248911476444,0.9169248911476444,0.0,0.9169248911476444,5.3882598876953125e-05,0.3165779113769531,0.03165779113769531,True,0.0,SA,10000,10,100000
20,13,8.514638236570569,8.514638236570567,1.7763568394002505e-15,8.514638236570569,5.1021575927734375e-05,0.31740307807922363,0.03174030780792236,True,0.0,SA,10000,10,100000
