event_idx,N,best_energy,build_time,solve_time,is_feasible,violation_rate
0,13,24.711454745231286,5.817413330078125e-05,0.3206930160522461,True,0.0
1,15,35.91106278142171,6.985664367675781e-05,0.33829188346862793,True,0.0
2,15,39.92783798334416,6.413459777832031e-05,0.3262310028076172,True,0.0
3,15,49.115769324070214,6.914138793945312e-05,0.32721996307373047,True,0.0
4,15,78.62925035381335,6.198883056640625e-05,0.328052282333374,True,0.0
5,12,-12.082854137570552,4.696846008300781e-05,0.30710887908935547,True,0.0
6,13,51.61009636895986,4.9114227294921875e-05,0.31463098526000977,True,0.0
7,12,3.4872675459995115,5.221366882324219e-05,0.3066887855529785,True,0.0
8,15,65.05434251233174,6.29425048828125e-05,0.3269169330596924,True,0.0
9,12,10.411809737866008,4.506111145019531e-05,0.35465383529663086,True,0.0
10,14,42.74400674564139,6.198883056640625e-05,0.3222813606262207,True,0.0
11,13,4.842818082650364,5.078315734863281e-05,0.3132030963897705,True,0.0
12,13,-14.745243267848267,5.3882598876953125e-05,0.3134448528289795,True,0.0
13,14,10.026143009812847,5.602836608886719e-05,0.3181121349334717,True,0.0
14,15,20.96363935613193,6.389617919921875e-05,0.32422614097595215,True,0.0
15,14,57.29043096681524,5.698204040527344e-05,0.3189198970794678,True,0.0
16,13,35.950349378777474,5.1021575927734375e-05,0.3141357898712158,True,0.0
17,14,24.504627007193683,5.793571472167969e-05,0.3200552463531494,True,0.0
18,12,13.060607979834444,4.506111145019531e-05,0.353776216506958,True,0.0
19,14,0.9169248911476444,6.604194641113281e-05,0.33292126655578613,True,0.0
20,13,8.514638236570569,4.982948303222656e-05,0.32020092010498047,True,0.0
21,14,42.94586907552987,5.698204040527344e-05,0.31969380378723145,True,0.0
22,14,59.4926844522864,5.5789947509765625e-05,0.31887197494506836,True,0.0
23,12,14.343168541564154,4.982948303222656e-05,0.3048570156097412,True,0.0
24,13,5.410743134275684,5.5789947509765625e-05,0.3984711170196533,True,0.0
25,14,57.58445734793848,5.7220458984375e-05,0.3194570541381836,True,0.0
26,13,1.0691097900227007,5.125999450683594e-05,0.31279993057250977,True,0.0
27,15,10.385301794710482,6.29425048828125e-05,0.3241870403289795,True,0.0
28,14,15.697527641314373,5.888938903808594e-05,0.31879401206970215,True,0.0
29,13,21.75795441759868,4.982948303222656e-05,0.3249990940093994,True,0.0
30,12,20.569742616502907,4.9114227294921875e-05,0.31362485885620117,True,0.0
31,14,4.982326592809558,5.888938903808594e-05,0.3242528438568115,True,0.0
32,14,41.44022079500507,5.698204040527344e-05,0.4249110221862793,True,0.0
33,12,17.576567907066458,4.506111145019531e-05,0.33948373794555664,True,0.0
34,14,48.35108171892149,5.888938903808594e-05,0.317781925201416,True,0.0
35,13,28.781884499683006,5.078315734863281e-05,0.3329579830169678,True,0.0
36,14,54.4736250699919,6.198883056640625e-05,0.32799601554870605,True,0.0
37,14,42.4465710121833,5.626678466796875e-05,0.3239579200744629,True,0.0
38,14,31.49747849187224,6.794929504394531e-05,0.3228600025177002,True,0.0
39,12,18.80427440891763,4.8160552978515625e-05,0.3042607307434082,True,0.0
40,14,14.098737088738616,5.793571472167969e-05,0.3392469882965088,True,0.0
41,12,4.030170696673393,4.8160552978515625e-05,0.30651187896728516,True,0.0
42,15,43.829432182686105,6.413459777832031e-05,0.35248470306396484,True,0.0
43,15,63.76291176246245,6.29425048828125e-05,0.3247497081756592,True,0.0
44,13,19.606544229637876,5.078315734863281e-05,0.3119361400604248,True,0.0
45,14,45.21679506945008,5.602836608886719e-05,0.3193368911743164,True,0.0
46,13,6.700638450071192,5.1975250244140625e-05,0.311920166015625,True,0.0
47,14,8.980012863911476,5.7220458984375e-05,0.33717775344848633,True,0.0
48,15,30.961331627391445,6.389617919921875e-05,0.3362698554992676,True,0.0
49,14,40.31753893267781,5.6743621826171875e-05,0.3172950744628906,True,0.0
